DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;;;;;;
Casos Prováveis por Município infecção e Class. Final;;;;;;;;;;
Período:2015;;;;;;;;;;
Município infecção;Ign/Branco;Dengue Clássico;Dengue com complicações;Febre Hemorrágica do Dengue;Síndrome do Choque do Dengue;Dengue;Dengue com sinais de alarme;Dengue grave;Inconclusivo;Total
350140 Álvaro de Carvalho;-;6;-;-;-;20;-;-;-;26
350150 Alvinlândia;-;1;-;-;-;-;1;-;-;2
350160 Americana;-;-;-;-;-;7430;5;3;12;7450
350170 Américo Brasiliense;-;3;-;-;-;677;1;-;1;682
350180 Américo de Campos;-;-;-;-;-;66;-;-;-;66
350190 Amparo;-;9;-;-;-;6560;-;3;-;6572
350200 Analândia;-;-;-;-;-;49;-;-;-;49
350210 Andradina;-;3;-;-;-;1842;1;7;-;1853
350220 Angatuba;-;1;-;-;-;115;-;-;3;119
350230 Anhembi;-;-;-;-;-;111;-;-;-;111
350240 Anhumas;-;-;-;-;-;74;-;-;-;74
350250 Aparecida;-;6;-;-;-;1603;1;-;-;1610
350260 Aparecida d'Oeste;-;20;-;-;-;146;-;-;2;168
350270 Apiaí;-;17;-;-;-;3;-;-;-;20
350275 Araçariguama;-;-;-;-;-;183;-;-;-;183
350280 Araçatuba;-;5;-;-;-;1731;12;-;-;1748
350290 Araçoiaba da Serra;-;-;-;-;-;77;3;-;-;80
350300 Aramina;-;-;-;-;-;1;-;-;-;1
350310 Arandu;-;-;-;-;-;6;-;-;-;6
350315 Arapeí;-;-;-;-;-;57;-;-;-;57
350320 Araraquara;-;78;-;-;-;4871;15;8;9;4981
350330 Araras;-;-;-;-;-;2639;-;2;2;2643
350335 Arco-Íris;-;-;-;-;-;7;-;-;-;7
350340 Arealva;-;-;-;-;-;340;-;-;-;340
350350 Areias;-;2;-;-;-;1;-;-;-;3
350360 Areiópolis;-;-;-;-;-;471;1;-;-;472
350370 Ariranha;-;-;3;-;-;209;-;2;-;214
350380 Artur Nogueira;-;5;-;-;-;760;4;-;6;775
350390 Arujá;-;33;-;-;-;170;1;-;5;209
350395 Aspásia;-;2;-;-;-;28;-;-;-;30
350400 Assis;-;1;-;-;-;4560;2;-;-;4563
350410 Atibaia;-;2;-;-;-;1011;1;-;-;1014
350420 Auriflama;-;-;-;-;-;189;4;-;2;195
350430 Avaí;-;-;-;-;-;375;1;-;-;376
350440 Avanhandava;-;-;-;-;-;68;1;-;-;69
350450 Avaré;-;-;-;-;-;215;-;1;-;216
350460 Bady Bassitt;-;-;-;-;-;408;2;-;1;411
350470 Balbinos;-;-;-;-;-;15;-;-;-;15
350480 Bálsamo;-;-;-;-;-;325;2;-;-;327
350490 Bananal;-;-;-;-;-;174;-;-;1;175
350500 Barão de Antonina;-;-;-;-;-;4;-;-;-;4
350510 Barbosa;-;-;-;-;-;121;-;1;-;122
350520 Bariri;-;-;-;-;-;127;-;-;-;127
350530 Barra Bonita;-;-;-;-;-;65;1;-;-;66
350540 Barra do Turvo;-;-;-;-;-;6;-;-;-;6
350550 Barretos;-;2;-;-;-;791;1;-;1;795
350560 Barrinha;-;-;-;-;-;18;-;-;-;18
350570 Barueri;-;7;-;-;-;1794;3;3;-;1807
350580 Bastos;-;-;-;-;-;468;-;-;-;468
350590 Batatais;-;5;-;-;-;553;-;-;2;560
350600 Bauru;-;3;-;-;-;8491;175;13;-;8682
350610 Bebedouro;-;1;-;-;-;6330;-;2;-;6333
350620 Bento de Abreu;-;-;-;-;-;3;-;-;-;3
350630 Bernardino de Campos;-;-;-;-;-;59;-;-;-;59
350635 Bertioga;-;25;1;-;-;451;-;-;-;477
350640 Bilac;-;18;-;-;-;186;1;-;8;213
350650 Birigui;-;2;-;-;-;4476;117;4;-;4599
350660 Biritiba-Mirim;-;1;-;-;-;14;-;-;1;16
350670 Boa Esperança do Sul;-;-;-;-;-;108;-;-;-;108
350680 Bocaina;-;-;-;-;-;73;-;-;-;73
350690 Bofete;-;-;-;-;-;6;-;-;-;6
350700 Boituva;-;1;-;-;-;850;-;1;1;853
350710 Bom Jesus dos Perdões;-;233;-;-;-;58;-;1;-;292
350720 Borá;-;3;-;-;-;4;-;-;-;7
350730 Boracéia;-;1;-;-;-;19;-;-;-;20
350740 Borborema;-;-;-;-;-;569;1;-;-;570
350745 Borebi;-;-;-;-;-;1;-;-;-;1
350750 Botucatu;-;-;-;-;-;697;6;-;-;703
350760 Bragança Paulista;-;1;-;-;-;414;158;-;-;573
350770 Braúna;-;-;1;-;-;160;1;-;-;162
350775 Brejo Alegre;-;-;-;-;-;8;1;-;-;9
350780 Brodowski;-;1;-;-;-;282;1;-;-;284
350790 Brotas;-;1;-;-;-;269;1;-;-;271
350800 Buri;-;3;-;-;-;214;-;-;2;219
350810 Buritama;-;-;-;-;-;845;-;-;-;845
350820 Buritizal;-;-;-;-;-;1;-;-;-;1
350830 Cabrália Paulista;-;-;-;-;-;111;-;-;-;111
350840 Cabreúva;-;-;-;-;-;128;-;-;-;128
350850 Caçapava;-;-;-;-;-;930;-;-;4;934
350860 Cachoeira Paulista;-;-;-;-;-;333;-;-;48;381
350870 Caconde;-;-;-;-;-;85;-;-;-;85
350880 Cafelândia;-;-;-;-;-;222;-;1;-;223
